ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
A,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กทม. 10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th,1.00 บาท,980.00,4998.00,5.10,3.20,1.59,,0.92,0.43,0.18,2.00,,,ประมาณร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล และทุนสำรองต่าง ๆ ทั้งหมดแล้ว (โดยมีเงื่อนไขเพิ่มเติม),นาย วิศิษฎ์ เลาหพูนรังษี,320897000,32.74,12913.99,9775.88,3138.11,980.00,965.50,-,32.72,0.03
A5,อสังหาริมทรัพย์และก่อสร้าง,,เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 19 ยูนิต 1901 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม. 10900,0-2026-3512,0-2026-3513,http://www.assetfive.co.th,0.50 บาท,1209.38,3241.15,2.68,0.71,3.77,36.49,1074.78,347.70,1.52,78.67,0.37,0.14,ประมาณร้อยละ 50 ของกําไรสุทธิหลังหักภาษี และสํารองตามกฎหมาย โดยคํานวณจากงบการเงินเฉพาะบริษัท (งบเดี่ยว),นาย ศุภโชค ปัญจทรัพย์,536801385,44.39,1611.90,732.85,859.71,604.69,322.04,-1.34,50.08,0.04
AAV,บริการ,ขนส่งและโลจิสติกส์,222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม. 10210,0-2562-5700,0-2562-5705,http://www.aavplc.com,0.10 บาท,11592.86,32923.71,2.84,1.16,2.44,,21.27,62.79,1.62,11.81,,,จ่ายเงินปันผลโดยคำนึงถึงผลการดำเนินงาน สภาพคล่อง กระแสเงินสด และสถานะทางการเงินของบริษัทฯ เงื่อนไขและข้อจำกัดในการจ่ายเงินปันผลตามที่กำหนดไว้ในสัญญาเงินกู้ หุ้นกู้ หรือสัญญาต่าง ๆ ที่เกี่ยวข้อง (โดยมีเงื่อนไขเพิ่มเติม),AirAsia Aviation Limited,2973616671,25.65,67589.49,54100.92,13488.58,1159.29,2097.22,-,-2370.60,-0.21
ABICO,เกษตรและอุตสาหกรรมอาหาร,,401/1หมู่ที่ 8 อาคารเอบิโก้ ชั้น 5 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี 12130,0-2080-7899,0-2080-7805,http://www.abicogroup.com,1.00 บาท,244.40,1918.52,7.85,4.16,1.89,29.84,36.05,6.79,0.34,55.45,0.58,0.17,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิจากการดำเนินงานปกติตามงบการเงินเฉพาะกิจการ หลังหักภาษีเงินได้ และเงินสำรองทุกประเภทตามที่กฎหมายและ ABICO กำหนดไว้ (โดยมีเงื่อนไขเพิ่มเติม),น.ส. รุ่งฉัตร บุญรัตน์,61015364,24.97,2055.03,1037.36,1017.67,244.40,654.33,-0.79,26.17,0.11
ABM,ทรัพยากร,,273/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม. 10150,0-2415-0054,0-2415-1102,http://www.asiabiomass.com,0.50 บาท,300.00,852.00,2.84,1.28,2.23,35.70,1085.30,101.80,1.16,8.40,,-,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะกิจการภายหลังหักสำรองตามกฎหมายแล้ว แต่ทั้งนี้ให้พิจารณาถึงปัจจัยต่างๆ ประกอบด้วย (โดยมีเงื่อนไขเพิ่มเติม),นาย พนม ควรสถาพร,58529805,19.51,951.25,585.89,382.78,150.00,612.90,-,6.75,0.02
ABPIF,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม. 10400,0-2673-3999,0-2673-3988,http://www.kasikornasset.com,1.426 บาท,600.00,786.00,1.31,1.42,0.92,-,5.58,0.54,0.12,-37.02,5.80,,ไม่น้อยกว่าร้อยละ 90 ของกำไรสุทธิที่ปรับปรุงแล้ว (โดยมีเงื่อนไขเพิ่มเติม),-0.76,-0.79,0.16,883.91,27.37,-,-,0.05,-12.47,-,-
ACAP,ธุรกิจการเงิน,,เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 24 ห้องเลขที่ 2401-2405 ถนน วิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม. 10900,0-2793-3888,0-2793-3944,http://www.acap.co.th,0.50 บาท,316.41,240.47,0.76,,155.44,,51.61,1.46,0.66,-38.21,,,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุุคคลและหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาง จารุณี ชินวงศ์วรกุล,78429000,24.79,3541.50,3539.95,1.55,158.21,7.07,-,-112.71,-0.36
ACC,ทรัพยากร,พลังงานและสาธารณูปโภค,944 อาคารมิตรทาวน์ ออฟฟิศ ทาวน์เวอร์ ชั้น 16 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม. 10330,0-2219-1642,0-2219-1662,http://acc-plc.com,0.25 บาท,1343.06,2148.89,1.60,0.47,3.43,32.81,124.81,31.11,1.65,-17.95,,-,บริษัทยังมียอดขาดทุนสะสมอยู่ห้ามมิให้ประกาศจ่ายเงินปันผล,นาย ศุภชัย วัฒนาสุวิสุทธิ์,200965673,14.96,764.21,95.56,626.12,335.76,28.67,161.47,136.28,0.10
ACE,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 7 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม. 10500,0-2233-2559,-,http://www.ace-energy.co.th,0.50 บาท,10176.00,28289.28,2.78,1.34,2.07,19.27,23.94,73.65,0.89,-20.57,0.72,0.14,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการหลังหักภาษีเงินได้นิติบุคคลและทุนสำรองต่าง ๆ ตามกฎหมาย,นาย วิระชัย ทรงเมตตา,2282528920,22.43,18854.97,5160.36,13638.04,5088.00,1624.76,-4.73,322.71,0.03
ACG,สินค้าอุตสาหกรรม,ยานยนต์,เลขที่ 1111 หมู่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมือง ขอนแก่น 40000,0-4330-6444,0-4330-6448,http://www.autocorpgroup.com,0.50 บาท,600.00,1464.00,2.44,1.12,2.18,55.11,15.49,2.22,1.01,-2.40,0.55,0.30,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล และทุนสำรองต่างๆ ทั้งหมดแล้ว (โดยมีเงื่อนไขเพิ่มเติม),นาย ภานุมาศ รังคกูลนุวัฒน์,402799000,67.13,1283.89,609.30,672.42,300.00,517.20,-,7.25,0.01
